"code","name","usage"
"a2","AtSpi2","X11 desktop via AT-SPI 2"
"an","Android","Android operating system"
"as","AtSpi","X11 desktop via AT-SPI 1"
"em","TerminalEmulator","terminal emulator with shared memory segment"
"hu","Hurd","The Hurd operating system"
"lx","Linux","Linux operating system"
"mo","MacOS","MacOS operating system via its accessibility API"
"pb","PcBios","MS-DOS operating system"
"sc","Screen","screen (patched) terminal multiplexer"
"tx","Tmux","tmux terminal multiplexer"
"vw","FileViewer","file viewer"
"wn","Windows","Microsoft Windows operating system"
