"code","name","aliases","usage"
"al","Alva","","braille device"
"an","Android","","OS-specific"
"auto","autodetect","",""
"bl","BrailleLite","","braille device"
"cb","CombiBraille","","braille device"
"en","eSpeak-NG","","software engine"
"es","eSpeak","","software engine"
"fl","FestivalLite","","software engine"
"fv","Festival","","software engine"
"gs","GenericSay","","pipes to /usr/local/bin/say"
"mb","MultiBraille","","braille device"
"mo","MacOS","","MacOS Speech via AVSpeechSynthesizer"
"mp","Mikropuhe","","software engine"
"sd","SpeechDispatcher","","multi-engine server"
"sw","Swift","","software engine"
"th","Theta","","software engine"
"vv","ViaVoice","Voxin","software engine"
"xs","ExternalSpeech","","socket-based client"
